rated,variant,speed,status,winner,moves,players.white.user.flair,players.white.user.patron,players.white.rating,players.white.ratingDiff,players.black.user.name,arenaTour.id
False,standard,rapid,mate,white,d4 d5 c4 e6 g3 Nf6 Bg2 Be7 Nf3 dxc4 O-O O-O Qc2 a6 Qxc4 b5 Qc2 Bb7 Bd2 Nbd7 Ba5 Rc8 Nbd2 Nd5 a3 N5b6 b4 Bd6 Ng5 Qxg5 Bxb7 Rb8 Bg2 e5 d5 f5 e4 f4 Bh3 Rf7 Be6 Rf8 Kg2 g6 f3 Kg7 Bxf7 Rxf7 g4 Qe7 Rac1 g5 Qd3 Kg8 Rc2 h5 h3 Rh7 Rc6 Qd8 Qc2 hxg4 hxg4 Rh4 Rh1 Kf7 Rxh4 gxh4 Kh3 Kg6 Bxb6 Nxb6 Qd3 Kg5 Qf1 Qb8 Qf2 Qh8 Rxb6 cxb6 Qxb6 Qf6 Qxa6 Qe7 Qxb5 Qc7 Nc4 Bf8 Qc6 Qa7 Nxe5 Qg7 Qe6 Be7 Qf5+ Kh6 Qh5#,nature.zebra,True,2941.0,,Fear_No_Fails,
False,standard,rapid,resign,white,d4 d5 c4 c5 cxd5 cxd4 Qxd4 Nf6 Nc3 a6 Nf3 g6 g3 Bg7 Bg2 O-O O-O Nc6 dxc6 bxc6 Qxd8 Rxd8 Bg5 Bb7 Rfd1 h6 Be3 Nd5 Bd4 c5 Bxg7 Kxg7 Nxd5 Bxd5,nature.zebra,True,2941.0,,treghost64,
False,standard,rapid,draw,,d4 c6,nature.zebra,True,2941.0,,bruhprodigygoat3,
False,standard,rapid,draw,,d4 g6 h4 h5 a4 b6 a5 Bb7 Nf3 bxa5 Rxa5 Nc6 Ra4 d5 c4 Nf6 Nc3 e6 Bg5 Be7 e3 Kf8 Bd3 Kg7 c5 Nd7 b4 Bxg5 hxg5 a6 O-O f6 Qc2 fxg5 Bxg6 Qf6 Bd3 h4 Nh2 h3 Ng4 Qf7,nature.zebra,True,2941.0,,aliiiii01,
True,standard,classical,resign,black,c4 e6 Nc3 Bb4 e4 b6 Nge2 Bb7 a3 Be7 d4 d6 g3 f5 Nf4 Qd7 Bg2 Nf6 d5 exd5 exd5 O-O O-O a5 Ne6 Rf7 Nb5 Na6 Nbd4 g6 b3 Nc5 Re1 Ng4 Rb1 Ne5 Bf1 Rf6 f4 Nxe6 dxe6 Qe8 fxe5 dxe5 Rxe5 Rd8 b4 Be4 Rb2 c5 Rd2 cxd4 Rxd4 Ra8 Bg5 axb4 axb4 Rf8 Bxe7 Qxe7 Qd2 Qf6 Qf4 g5,symbols.linux-tux-penguin,,2251.0,-4.0,Unicorn7Love,
True,standard,rapid,resign,white,d4 Nf6 c4 e6 g3 d5 Bg2 c6 Nf3 Nbd7 O-O Bd6 Nc3 dxc4 Nd2 Nb6 a4 a5 f4 c5 Nde4 Nxe4 Nxe4 Be7 dxc5 Nd5 b3 f5 bxc4 fxe4 cxd5 Bxc5+ e3 exd5 Qh5+ g6 Qe5+ Kf7 Bb2 Rg8 f5 g5 Rad1 Bxe3+ Kh1 d4 Bxe4 Qf6 Bd5+ Kg7 Qxf6+ Kxf6 Bxg8 Bxf5 Bxh7,nature.zebra,True,2934.0,7.0,sumragsri2025,
True,standard,classical,resign,black,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Bg5 Bg7 Qd2 Nc6 Nxc6 bxc6 Bh6 Bxh6 Qxh6 Qb6 Rb1 Qxf2+ Kxf2 Ng4+ Kg3 Nxh6 Bc4 e5 Rbd1 Ke7 b3 Be6 Ba6 Rab8 Ne2 f5 exf5 gxf5 h3 Bd5 Kf2 Rhg8 Rhg1 Rb6 Bd3 a5 c4 Be6 Bc2 Nf7 Nc3 Rg7 Rge1 Rb8 Rg1 Rbg8 Ne2 h5 Nc3 h4 Bb1 Kf6 Bc2 Rd8 Rgf1 Rg3 Ne2 Rg7 Nc3 Rdg8 Rg1 Ke7 Bb1 Rd8 Bc2 d5 cxd5 cxd5 Bb1 d4 Na4 Nd6 Nc5 Bd5 Nd3 Kf6 Rde1 Ne4+ Ke2 Rdg8,,,2279.0,-4.0,Unicorn7Love,
True,standard,classical,resign,black,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 f3 Bg7 Be3 O-O Qd2 Nc6 Bc4 Bd7 h4 Rc8 Bb3 h5 O-O-O Ne5 Kb1 Kh7 Rdg1 Rc5 Nde2 Nc4 Bxc4 Rxc4 Nf4 Qa5 g4 hxg4 h5 g5 Nfd5 Nxd5 Nxd5 Qxd2 Bxd2 gxf3 Nxe7 Rxe4 Rxg5 Rxe7 h6 Be5 Bc3 f6 Rgg1 Bxc3 bxc3 f2 Rf1 Bc6 Rh2 Re1+,activity.xmas-lichess-horsey,,1650.0,0.0,Unicorn7Love,hkWvpYBK
True,standard,classical,resign,white,d4 Nf6 c4 e6 g3 Bb4+ Nd2 c5 a3 Bxd2+ Qxd2 cxd4 Qxd4 Nc6 Qd2 b6 Bg2 Bb7 b4 O-O Bb2 Rc8 Nh3 Qe7 O-O Nd8 Bxf6 Qxf6 Bxb7 Nxb7 Qxd7 Nd8 Qxc8,nature.zebra,True,2749.0,0.0,f3f6f4f5,hkWvpYBK
True,standard,classical,resign,white,d4 Nf6 c4 d6 Nf3 g6 Nc3 Bg7 e4 Nc6 d5 Nb8 Be2 Na6 Be3 Bg4 Nd2 Bxe2 Qxe2 O-O O-O c6 Rac1 Rc8 a3 Qd7 Bxa7 b5 cxb5 Qxa7 bxa6 Qxa6 Qxa6,nature.zebra,True,2748.0,1.0,KaptnHaddock,hkWvpYBK
False,standard,rapid,resign,white,e4 c5 Nf3 Nc6 Bb5 g6 Bxc6 bxc6 O-O Bg7 Re1 d6 h3 d5 d3 dxe4 Rxe4 Bf5 Rc4 Qd5 Nc3 Bxc3 Rxc3 Nf6 Be3 Nd7 Nd2 e5 f3 O-O Kh1 Rab8 b3 Rb4 Qg1 Rb5 a4 Ra5 Re1 Rb8 Bf2 Kf8 Qh2 Nf6 Rxe5 Qd6 Rcxc5 Rxc5 Bxc5,nature.zebra,True,2934.0,,Ivan_Korshunov,
True,standard,classical,resign,white,d4 Nf6 c4 e6 g3 Bb4+ Nd2 d5 Bg2 O-O Nf3 b6 cxd5 exd5 O-O Bb7 Ne5 Nbd7 Qa4 Bd6 Ndc4 Bxe5 Nxe5 Re8 Nxd7 Qxd7 Qxd7 Nxd7 Bf3 Re7 Bg5 f6 Bf4 Nf8 b4 Ne6 Be3 g5 a4 a5 b5 f5 Rfd1 Rf8 Bc1 Rff7 Ba3 Rd7 Rac1 g4 Bg2 Ng5 Rc2 f4 Bc1 Ne6 gxf4 Nxf4 Bxf4 Rxf4 e3 Rff7 h3 h5 hxg4 hxg4 Kh2 Bc8 Rdc1 Kf8 Kg3 Ke8 Rc6 Bb7 Rg6 Rg7 Rh6 Rdf7 Rh5 Kd7 Bxd5 Bxd5 Rxd5+ Ke6 Re5+ Kd7 Kg2 Rf3 Rc2 Rh3 Rf5 Rgh7 Rg5 Rh1 Rxg4 Ra1 d5 Kd6 Rd4 Ke5 Kf3 Rf7+ Ke2 Rh7 Rcd2 Kd6 Rc4 Ke5 f4+ Kf5 Kd3 Ra3+ Rc3 Rxa4 Rg2 Re7 Rg5+ Kf6 Rc6+ Kf7 Re5 Rd7 e4 Ra3+ Ke2 Rh3 Rg5 a4 e5 Kf8 Rf6+ Rf7 Rxf7+ Kxf7 e6+ Kf6 Re5 Ke7 Rf5 a3 Rf7+ Kd6 Rd7+ Kc5 e7 Rh8 Rd8 Rh2+ Kf3 a2 Ra8 Rh3+ Ke4 Rh1 Kf5 Re1 Kf6 Kd6 Rxa2 Rxe7 f5 Re5 Rd2 Re1 Kf7 Ke5 f6 Rf1 Re2+ Kxd5 Ke7 Kc5 Re5+ Kd4 Re6 Kc5 f7 Rxf7+ Kxf7 Kxb5 Kf6 Kc5 Ke5 b5 Ke4 Kb4 Rc6 Ka3 Kd3 b4 Kc2,nature.zebra,True,2743.0,5.0,Tem7702,
True,standard,classical,resign,black,d4 Nf6 c4 g6 Nc3 Bg7 e4 d6 f4 O-O Nf3 e5 fxe5 dxe5 d5 c6 Be2 cxd5 cxd5 Nbd7 Bg5 Qb6 Qb3 h6 Bh4 Nh5 Bf2 Qd6 Nb5 Qb8 Rc1 a6 Nc7 Nf4 Nxa8 Qxa8 Bf1 Nf6 Nd2 Re8 g3 Nh3 Be3 Bg4 Be2 b5 Rc6 Bd7 Rc7 Rc8 Qc2 Qb8 Rxc8+ Bxc8 Kd1 Ng5 Kc1 Ngh7 Kb1 Bd7 Rc1 Ne8 Nb3 Nhf6 Bd3 Qd6 Bc5 Qb8 Na5 h5 Nc6 Bxc6 dxc6 Qc7 Be3 Ng4 Bd2 Nxh2 Be2 Bf8 Be3 Ng4 Bxg4 hxg4 Qf2 Bd6 Bb6 Qe7 Bc5 Nc7 Bxd6 Qxd6 Qc2 Kg7 Rd1 Qf6 a3 Qf3 Rd7 Ne6 Rd6 Nc7 Rd7 Ne6 c7 Nxc7 Rxc7 Qxg3 Ka2 Qf4 Qe2 Kh6 Rc1 Qxc1 Qh2+ Kg5 Qxe5+ Kh4 Qh2+ Kg5 Qe5+ f5 Qe7+ Kf4 e5 Qc4+ Ka1 g3 Qh4+ Kf3 Qh3 Qe6 Qf1+ Ke4 Qe1+ Kf4 Qd2+ Kxe5 Qe3+ Kf6 Qxg3 g5 Qc3+ Qe5 Qc6+ Qe6 Qc3+ Kg6 Qc5 g4 a4 bxa4 Qc1 Qe4 Qc8 Qd3 Qg8+ Kh5 Qh7+ Kg5 Qe7+ Kf4 Qc7+ Ke3 Qg3+ Ke4 Qe1+ Qe3 Qb4+ Kf3 Qb7+ Qe4 Qxa6 g3 Qf1+ Kg4 Qd1+ Qf3 Qxa4+ Qf4 Qd1+ Qf3 Qa4+ Kh3 Qd7 g2 Qh7+ Kg3 Qc7+ f4 Qg7+ Kf2 Qd4+ Qe3 Qd5 g1=Q+ Ka2 Qa7+ Kb3 Qg3+ Kb4 Qb6+ Ka4 Qge3,nature.zebra,True,2772.0,-29.0,Wellow00,
True,standard,classical,resign,black,d4 Nf6 c4 e6 Nc3 Bb4 e3 O-O Bd3 Bxc3+ bxc3 d6 Ne2 b6 O-O Bb7 f3 e5 d5 Nfd7 e4 Nc5 Bc2 a5 Be3 Nbd7 Nc1 Ba6 Qe2 f5 exf5 Qh4 Bxc5 Nxc5 Be4 Bc8 g4 g6 fxg6 h5 Nd3 Nxe4 Qxe4 hxg4 fxg4 Qxg4+ Qxg4 Bxg4 Rxf8+ Rxf8 Rf1 Bh5 Rxf8+ Kxf8 Kf2 Bxg6 Ke3 Kf7 Nc1 Kf6 Nb3 Bb1 a3 Bc2 Nd2 Kf5 Nf3 Kg4 h3+ Kf5 Nh4+ Kf6 Nf3 Bb3 Nd2 Ba4 Kd3 Kg5 Ke4 Bc2+ Ke3 Kh5 Nf3 Bd1 Nd2 Kh4 Ne4 Ba4 Kf2 Bd7 Nf6 Ba4 Ne4 Bb3 Nd2 Ba2 Kg2 a4 Kh2 Bb3 Kg2 Bc2 Nf3+ Kh5 Nd2 Kg5 Kg3 Bd3 Kf3 Bf5 Kg3 Bxh3 Kxh3 Kf4 Kg2 Ke3 Nf3 Kd3 Ng5 Kxc4 Ne6 Kb3 Nxc7 Kxa3 Nb5+ Kb3 Nxd6 a3 Ne4 a2 d6 a1=Q d7 Qa8 Kg3 Qd8,smileys.alien-monster,,2433.0,-22.0,Unicorn7Love,
True,standard,rapid,resign,black,e4 c5 c3 d5 exd5 Qxd5 d4 Nc6 Nf3 Bf5 Be2 cxd4 cxd4 Bxb1 Rxb1 Nf6 b3 e6 O-O Bd6 Be3 O-O h3 Rac8 Bc4 Qa5 Qe2 a6 a4 Nd5 Bd2 Bb4 Bxb4 Ncxb4 Rbc1 b5 axb5 axb5 Bxd5 Nxd5 Ne5 Qb4 Qd3 Nf4 Qf3 Rxc1 Rxc1 Qd2 Rc7 Ne2+ Kh2 Qe1 h4 f5 g3 f4 Kg2 Nxd4 Qb7 Qxe5,,,2460.0,-1.0,Unicorn7Love,
True,standard,rapid,resign,white,d4 d5 c4 dxc4 e4 e5 Nf3 exd4 Bxc4 Nc6 O-O Be6 Bxe6 fxe6 Qb3 Qc8 Ng5 Nd8 f4 Bc5 Qb5+,nature.zebra,True,2930.0,2.0,Nikita272005,
True,standard,classical,outoftime,white,d4 Nf6 c4 e6 g3 d5 Bg2 Be7 Nf3 O-O O-O a5 Qc2 Nc6 a3 dxc4 Qxc4 a4 Nc3 Bd7 Rd1 h6 Qd3 Na5 e4 c5 Bf4 Qb6 Rab1 Rfd8 d5 Bc6 Qe2 Be8 d6 Bf8 e5 Nd5 Nxd5 exd5 Rxd5 Bb5 Qe1 Bc4 Rd2 Ba2 Ra1 Be6 Rad1 Bb3 Rc1 Be6 Rc3 Nb3 Rd1 Nd4 Be3 Nxf3+ Bxf3 Qxb2 Rb1 Qa2 Qc1 Bf5 Rxb7 Rab8 Rxc5 Rxb7 Bxb7 Rb8 Bd5 Qe2 Qf1 Qb2 Bc1 Qd4 Be3 Qb2 Qc4 Qxa3 Bxf7+ Kh8 Qc3 Rb1+ Kg2 Rb3 Bxb3 axb3 Rc8 Bxc8 Qxc8 Kg8 d7 b2 Bc5 Qd3 Qxf8+ Kh7 d8=Q b1=Q Qxd3+ Qxd3 Qf3 Qg6 g4 h5 Qf5,nature.zebra,True,2759.0,8.0,Also_Ran,
True,standard,rapid,resign,white,d4 d5 c4 e6 g3 Nf6 Bg2 g6 Nf3 Bg7 O-O O-O Qc2 b6 cxd5 exd5 Bf4 Na6 a3 c5 Nc3 Bf5 Qa4 Qc8 Rac1 c4 Ne5 Nc7 Rfd1 Qb7 Qxc4 Ne4 Qb3 Rac8 Nf3 Be6 Be5 Bh6 e3 Rfe8 Nd2 Nxd2 Rxd2 Bf8 Rdc2 Rcd8 Bxc7 Qxc7 Bxd5 Bxd5 Nxd5 Qb8 Nf6+ Kg7 Nxe8+ Rxe8 Rc7,nature.zebra,True,2928.0,2.0,monkeboogster,
False,standard,bullet,resign,white,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 f3 O-O Qd2 Nc6 Bc4 Bd7 O-O-O Rc8 Bb3 a6 g4 b5 h4 b4 Nce2 a5 h5 Qc7 Bh6 Qa7 Bxg7 Kxg7 hxg6 fxg6 Qh6+ Kh8 Qxg6 a4 Rxh7+ Nxh7 Rh1 Rf7 Bxf7,nature.zebra,True,2920.0,,NiceG0mer4680,
