rated,variant,speed,status,winner,moves,players.white.rating,players.white.ratingDiff,players.black.user.patron,players.black.user.patronColor,players.black.user.id,clock.totalTime
True,kingOfTheHill,bullet,outoftime,white,g3 c6 Bg2 d5 e3 Nf6 Ne2 Bg4 O-O h5 d4 h4 c4 hxg3 hxg3 Qd7 cxd5 cxd5 f3 Bh3 Nf4 Bxg2 Nxg2 Nc6 Nc3 O-O-O Kf2 g5 b4 g4 b5 Na5 Ba3 Nc4 Bc5 b6 Bb4 Qf5 Rc1 Rh2 Nxd5 Nxd5 Rxc4+ Kb8 e4 Qh5 fxg4 Qh3 Qf3 Nf6 Qf4+ Ka8 Rg1 Nxg4+ Kf3 e5 Qxg4 Qxg4+ Kxg4 Bxb4 Rxb4 Rdh8 Ne3 R2h6 Kf3 Rf6+ Ke2 Rc8 Kd3 Rc2 Nxc2,2210.0,19.0,True,10.0,pap-g,60.0
True,kingOfTheHill,bullet,mate,white,e4 c6 d4 d5 e5 c5 c3 Nc6 Nf3 e6 Bd3 Nge7 O-O Ng6 g3 Be7 h4 cxd4 cxd4 Qb6 Nc3 Bd7 Be3 Qxb2 Nb5 Rc8 a3 a6 Rb1 Qa2 Nd6+ Bxd6 exd6 Qxa3 h5 Nf8 Rxb7 Qxd6 Bf4 Qe7 h6 gxh6 Re1 Ng6 Bxh6 Rg8 Bxa6 Ra8 Bb5 Rc8 Qa4 Qd6 Kf1 f5 Rc1 Nge7 Bf4 Qb4 Qxb4 Nxb4 Bxd7+ Kf7 Ne5+ Kf6 Bxc8 Rxc8 Rxc8 Nxc8 Rf7#,2483.0,3.0,,,cutefork,60.0
True,kingOfTheHill,bullet,resign,black,e4 c6 d4 d5 exd5 cxd5 c4 Nf6 Nf3 e6 Nc3 Be7 Bf4 O-O Qb3 Nc6 cxd5 Nxd5 Nxd5 exd5 Bd3 Bb4+ Bd2 Re8+ Kd1 a5 a3 Bxd2 Kxd2 Bg4 Rhe1 Bxf3 gxf3 Qg5+ Re3 Nxd4 Qxb7 Nxf3+ Kc3 d4+ Kc4 Rec8+ Kb3,2221.0,-2.0,True,10.0,pap-g,60.0
True,kingOfTheHill,bullet,outoftime,white,e4 c6 d4 d5 e5 c5 c3 Nc6 Nf3 Bg4 Be2 e6 Be3 Nge7 Nbd2 cxd4 cxd4 Nf5 O-O Be7 Qb3 Rb8 h3 Bxf3 Nxf3 O-O Rac1 Qa5 Bd3 Rfd8 a3 g6 g4 Nh4 Nxh4 Bxh4 g5 h6 gxh6 Kh7 Kg2 Qc7 Qd1 Qe7 Qg4 f5 exf6 Qxf6 Kh1 Rg8 Rg1 Rbf8 Rg2 Ne7 Rc7 Rf7 Rxb7 Nf5 Rxf7+ Qxf7 Bxf5 exf5 Qxh4 Re8 Qg5 Re4 Bf4 Qe6 Kh2 Qe7 h4 Qxg5 Bxg5 Kg8 f3 Kf7 fxe4 dxe4 Rc2 Ke6 Rc5 Kd6 Kg3 Ke6 Kf4 Kd6 h7 Ke6 h8=Q Kd6 Qe5+,2478.0,3.0,,,cutefork,60.0
True,kingOfTheHill,bullet,resign,black,e4 c6 e5 d5 exd6 exd6 d4 d5 c4 Nf6 Nf3 Bb4+ Nc3 O-O Bg5 Re8+ Be2 dxc4 O-O b5 a4 a6 axb5 Bxc3 bxc3 cxb5 Ne5 Bb7 Bf3 Ra7 Bxb7 Rxb7 Qf3 Qd5 Bxf6 Qxf3 gxf3 gxf6 f4 fxe5 fxe5 f5 exf6 Kf7 Rfe1 Re6 d5 Rxf6 f3 Rxf3 Kg2 Rf5 Re4 Re7 Rxe7+ Kxe7 Rxa6 Nxa6,2226.0,-3.0,True,10.0,pap-g,60.0
True,kingOfTheHill,bullet,mate,white,e4 c6 d4 d5 e5 c5 c3 Nc6 Nf3 Bg4 Be2 e6 O-O Nge7 Be3 Nf5 Nbd2 cxd4 cxd4 Qb6 Qb3 Be7 Qxb6 axb6 a3 O-O Rac1 Rfc8 h3 Bxf3 Nxf3 h6 Bd3 g5 g4 Ng7 Rc3 Ne8 Rfc1 Nc7 h4 Kg7 hxg5 hxg5 Nxg5 Rh8 Kg2 b5 Rxc6 bxc6 Rxc6 Ne8 Bxb5 Bxg5 Bxg5 Rb8 a4 Rb7 f4 Nc7 Bf6+ Kg8 Bxh8 Nxb5 Rc8+ Kh7 axb5 Rxb5 Bf6 Rxb2+ Kg3 Rb3+ Kh4 Kg6 Rg8+ Kh7 Rg7+ Kh6 g5#,2472.0,3.0,,,cutefork,60.0
True,kingOfTheHill,bullet,resign,black,e4 c6 d4 d5 Nd2 a6 Ngf3 Bg4 Bd3 e6 h3 Bh5 g4 Bg6 Nh4 Qxh4,2230.0,-2.0,True,10.0,pap-g,60.0
True,kingOfTheHill,bullet,variantEnd,black,e4 c6 Nc3 d5 Nf3 dxe4 Nxe4 Nf6 Qe2 Nxe4 Qxe4 Qa5 Bc4 Bf5 Qf4 e6 O-O Nd7 d3 O-O-O Bd2 Qc7 Qh4 Bd6 b4 h6 h3 g5 Qd4 c5 bxc5 Bxc5 Qb2 Nb6 Bc3 Rhg8 Be5 Qc6 Bb5 Qd5 c4 Qxd3 Bg3 g4 Qe5 Bd6 Ne1 Bxe5 Nxd3 Bxd3 Rae1 Bxg3 Re5 Bxe5 Rd1 Be4 Re1 f5 g3 Kc7 Kf1 Kd6 Rd1+ Kc5 Re1 Kd4#,2481.0,-12.0,,,cutefork,60.0
True,kingOfTheHill,bullet,variantEnd,black,e4 c6 d4 d5 Nd2 a6 Ngf3 h6 c4 e6 Bd3 Nf6 O-O Be7 Re1 dxe4 Nxe4 Nbd7 b3 O-O Bb2 b6 Qe2 Bb7 Rad1 Qc7 Ne5 Rad8 f4 c5 h3 cxd4 Bxd4 Nc5 Bxc5 Bxc5+ Nxc5 Qxc5+ Qe3 Rd4 Be2 Rfd8 Rxd4 Rxd4 g3 Kf8 Nf3 Bxf3 Bxf3 Ke7 Kf2 Kd6 Re2 Nd7 g4 e5 f5 e4 Qf4+ Qe5 Kg3 g5 fxg6 fxg6 Rxe4 Rxe4 Bxe4 g5 c5+ bxc5 Qxe5+ Kxe5#,2223.0,-2.0,True,10.0,pap-g,60.0
True,kingOfTheHill,bullet,resign,white,e4 c6 d3 d5 Nd2 e5 Ngf3 Bd6 d4 Nd7 exd5 cxd5 Bb5 e4 Ne5 Nf6 O-O O-O f4 exf3 Ndxf3 a6 Bd3 Re8 Kh1 Nxe5 dxe5 Bxe5 Nxe5 Rxe5 Bf4 Re8 Bg5 Re6 Qf3 h6 Bh4 Qe7 Qg3 Kf8 Qf3 Bd7 a3 Bc6 Be1 Rd8 Bb4 Red6 Rae1 Qd7 Qf4 Kg8 Bxd6 Qxd6 Qxd6 Rxd6 Kg1 Ne4 c4 Re6 cxd5 Bxd5 Rf4 Nc5 Rxe6 Nxe6 Rf5 Bc6 Kf2 g6 Re5,2476.0,3.0,,,cutefork,60.0
