rated,variant,speed,status,winner,moves,players.white.user.id,players.white.rating,players.black.user.title,players.black.user.patron,players.black.user.patronColor,clock.increment
True,standard,bullet,outoftime,black,Nf3 Nf6 g3 d6 Bg2 Nbd7 O-O e5 d3 e4 dxe4 Nxe4 Nbd2 Nxf2 Rxf2 Nf6 e4 Ng4 Rf1 Be7 Qe2 O-O h3 Nf6 Nc4 Re8 Bf4 Be6 Rae1 Qd7 Ncd2 Bxh3 Ng5 Bxg2 Kxg2 h6 Ngf3 Ng4 Rh1 Bf6 c3 Re7 Nh4 Rae8 Nf5 Qxf5 exf5 Rxe2+ Rxe2 Rxe2+ Kf3 Nf2 Kxe2 Nxh1 Kf3 Nxg3 Kxg3 Kf8 Kf3 Ke8 Ne4 Be7 f6 gxf6 Bxh6 f5 Ng3 d5 Nxf5 Bd8 Be3 Kd7 Bd4 b6 Be5 c6 Bg3 f6 Ne3 Ke6 Ke2 Be7 Kd3 Bc5 Bf2 Be7 b4 Kd7 Nc2 a6 Nd4 c5 Nc2 Kc6 Kd2 f5 bxc5 Bg5+ Kd3 f4 Be3 fxe3 Nxe3 bxc5 Nc2 c4+ Kd4 Bf6+ Ke3 Bxc3 Ne1 Kc5 Nf3 d4+,sgcbaolam2013,2840.0,GM,True,1.0,0.0
True,standard,bullet,resign,white,Nf3 e5 Nxe5 d6 Nf3 Nf6 Nc3 Be7 d4 O-O Bg5 c5 Bxf6 Bxf6 dxc5 dxc5 Qxd8 Rxd8 Ne4 Be7 Rd1 Nc6 Rxd8+ Nxd8 e3 Bf5 Bd3 c4 Nf6+ Bxf6 Bxf5 Bxb2 Ke2 Nc6 Rb1 Bf6 Be4 Na5 Rb5 Bd8 Nd4 a6 Rd5 Rc8 Rd7 b5 Bd5 Bf6 Bxf7+ Kh8 Be6 Bxd4 Rxd4 Re8 Bf7 Nc6 Bxe8,arm-777777,3298.0,,,,0.0
True,standard,bullet,outoftime,black,Nf3 e5 Nxe5 g5 d4 d6 Nd3 Nc6 e3 h5 c3 h4 Nd2 Bg7 h3 Nce7 b3 Ng6 Bb2 c6 Qc2 d5 O-O-O Bf5 e4 dxe4 Re1 N8e7 Nxe4 Qa5 Kb1 O-O-O f3 Nd5 Ndf2 Ngf4 Bd3 Nxd3 Qxd3 Nf4 Qc2 Nxg2 Rhg1 Nf4 Rxg5 Bxe4 Nxe4 Qc7 Rxg7 Ne6 Rxf7 Qxf7 Qe2 Nf4 Qe3 Rhg8 a4 Ng2 Qe2 Nxe1 Qxe1 Qxf3 Nc5 Qf7 Qe5 Rge8 Qg5 b6 Na6 Qh7+ Ka2 Kb7 Nb4 Qe7 Qg4 Qe4 Qd1 a5 Nxc6 Qxc6 Qd2 Qxa4+,sgcbaolam2013,2842.0,GM,True,1.0,0.0
True,standard,bullet,resign,white,Nf3 Nf6 e4 g6 e5 Ng8 Nc3 Bg7 e6 dxe6 h4 Nf6 h5 Nxh5 g4 Nf6 Be2 Nd5 d4 O-O Ne4 Nf6 Nxf6+ exf6 Bh6 f5 Bxg7 Kxg7 Qd2 Rh8 Qh6+ Kg8 Ne5 Nc6 O-O-O Bd7 gxf5 exf5 Nxf7 Kxf7 Bc4+ Kf6 f4 Ne7 d5 b5 Bb3 Be8 Rde1 Bf7 Qg5+ Kg7 Rxe7 Re8 Rxf7+ Kxf7 Rxh7+ Kg8 Qxg6+,arm-777777,3297.0,,,,0.0
True,standard,bullet,resign,black,Nf3 e5 g3 e4 Nd4 Nc6 Nb3 a5 Bg2 a4,sgcbaolam2013,2844.0,GM,True,1.0,0.0
True,standard,bullet,resign,white,Nf3 Nf6 d3 g6 Nbd2 Bg7 e4 O-O e5 Ne8 e6 d6 exf7+ Rxf7 h4 h5 Ng5 Rf8 d4 e6 Bd3 e5 Bxg6 Bg4 f3 Bf5 Bxf5 Rxf5 Qe2 Nf6 c3 Nc6 Nc4 Qd7 Ne3 Rf4 d5 Ne7 c4 Nf5 g3 Nd4 Qg2 Rf5 Nxf5 Qxf5 Be3 Nc2+ Kd2 Nxa1 Rxa1 Re8 Qh3 e4 Qxf5,arm-777777,3295.0,,,,0.0
True,standard,bullet,resign,black,Nf3 c5 g3 e5 Bg2 e4 Nh4 e3 dxe3 g5 Nf3 Nc6 O-O g4 Nfd2 h5 h4 gxh3 Bxh3 h4 g4 d5 f4 Nf6 g5 Bxh3 gxf6 Rg8+ Kh2 Bxf1 Qxf1 Qxf6 Nf3 O-O-O Qh3+ Qe6 Nc3 Qxh3+ Kxh3 Rg3+ Kh2 Rg7 Nxh4 Be7 Kh3 Rh8,sgcbaolam2013,2845.0,GM,True,1.0,0.0
True,standard,bullet,mate,white,d4 c5 d5 e6 dxe6 d5 exf7+ Kxf7 Nf3 Nf6 Nc3 d4 Nb1 Nc6 e3 Bg4 Bc4+ Ke8 h3 Bh5 g4 Bf7 Bxf7+ Kxf7 O-O h5 g5 Ne4 exd4 Nd6 d5 Nf5 dxc6 bxc6 Qxd8 Rxd8 Bf4 Rd5 Nc3 Rd8 Rad1 Bd6 Bxd6 Rxd6 Ne5+ Ke6 Rde1 Rc8 Nc4+ Kd7 Nxd6 Kxd6 Ne4+ Kd5 f3 Nd4 c3 Ne6 Re2 Nf4 Rd1+ Ke5 Ree1 Rb8 Ng3+ Ne2+ Nxe2 Kf5 b3 Kxg5 Kg2 Kh6 Ng3 g6 Re6 h4 Rdd6 Kg5 Rxg6+ Kf4 Rge6 hxg3 Rd2 Kf5 Rde2 a5 Kxg3 Rg8+ Kf2 a4 R2e5+ Kf4 Re4+ Kf5 R6e5+ Kf6 Rxc5 a3 Rxc6+ Kf5 Rc5+ Kf6 Ra5 Rd8 Rf4+ Kg6 Rd4 Rc8 Rg4+ Kf6 Rb4 Rc6 Rab5 Rxc3 Rb6+ Kf5 R6b5+ Kf6 Rc4 Rd3 Rbc5 Rd2+ Kg3 Rxa2 Ra5 Re2 Rca4 Re6 Ra6 a2 Rxe6+ Kxe6 Rxa2 Kd5 Ra4 Ke6 Rc4 Ke5 Kf2 Ke6 Ke2 Ke5 Kd3 Kd5 b4 Ke6 b5 Kd5 b6 Kd6 b7 Kd5 b8=Q Ke6 Qb5 Kd6 Rc6+ Ke7 Qb7+ Kd8 Rc8#,pchelkinvk,2867.0,GM,True,1.0,0.0
True,standard,blitz,resign,white,e4 d6 Nf3 e6 d4 Ne7 Bg5 h5 Bd3 Nd7 e5 d5 c4 c6 Nc3 dxc4 Ne4 Qa5+ b4 Qxb4+ Bd2 Qa3 Nd6+ Kd8 Nxf7+ Kc7 Bxc4 Rg8 O-O Nb6 Bb3 Ned5 N3g5 Be7 Qxh5 Bd7 Rac1 a5 Nd6 Bxd6 exd6+ Kb8 Nf7 a4 Bxd5 Nxd5 Ne5 Qxd6 Qf7 Rd8 Qxg7 Ka7 Rc4 Nb6 Bb4 Qd5 Rc5 Qxd4 Ra5+ Kb8 Bc5 Qd2 Bxb6 Rxa5 Bxd8 Rd5 Bg5 Qd4 Be3 Qxe5 Qxe5+ Rxe5 Bf4 b5 Bxe5+ Kb7 h4 c5 h5 Be8 h6 Bg6 Rc1 b4 Rxc5 b3 axb3 axb3 Rb5+ Kc6 Rxb3,arm-777777,2805.0,,,,0.0
True,standard,blitz,resign,black,b4 e5 a3 a5 b5 d5 a4 Bd6 e3 Nf6 Ba3 O-O d3 Nbd7 Be2 Re8 Nd2 Qe7 Bxd6 cxd6 Ngf3 Nf8 O-O Ng6 c4 dxc4 Nxc4 Be6 Nb6 Rad8 d4 e4 Nd2 d5 Qc2 Bg4 Bxg4 Nxg4 h3 Nh6 Qc5 Qg5 Kh2 Nh4 g3 Nf3+ Nxf3 exf3 Rac1 Ng4+ Kg1 Nxf2 Rxf2 Qxg3+ Kf1 Rxe3 Qc7 Qxh3+ Kg1 Rde8 Rcf1 h6 Nxd5 Qg4+ Kh2 Qh5+ Kg1 Qxd5 Qf4 R8e4 Qg3 Qxd4 Rg2 fxg2,gmmitkov,2579.0,GM,True,1.0,0.0
